review_id,review_text,sentiment_label,sentiment_score,identified_themes,bank
50,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",positive,0.9998852014541626,['Customer Support'],Commercial Bank of Ethiopia
51,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,-0.9997394680976868,"['Account Access Issues', 'Customer Support', 'Feature Requests']",Commercial Bank of Ethiopia
52,mortuary app,negative,-0.7924917340278625,['Other'],Commercial Bank of Ethiopia
53,it is smart app but it has stoped after some period of time on my device with out any reason .,negative,-0.9961044788360596,['Other'],Commercial Bank of Ethiopia
54,amazing app I am used this app for one year,positive,0.9991408586502075,['Other'],Commercial Bank of Ethiopia
55,👍,negative,-0.6970564723014832,['Other'],Commercial Bank of Ethiopia
56,good app,positive,0.9998493194580078,['Other'],Commercial Bank of Ethiopia
57,i love it 😍😘,positive,0.9998791217803955,['Other'],Commercial Bank of Ethiopia
58,It makes life easy!👌,positive,0.9993600249290466,['User Interface & Experience'],Commercial Bank of Ethiopia
59,its not fast,negative,-0.9949808716773987,['Transaction Performance'],Commercial Bank of Ethiopia
60,wow,positive,0.999592125415802,['Other'],Commercial Bank of Ethiopia
61,it is sooo good,positive,0.9998735189437866,['Other'],Commercial Bank of Ethiopia
62,excellent,positive,0.9998434782028198,['User Interface & Experience'],Commercial Bank of Ethiopia
63,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
64,Fantastic,positive,0.9998743534088135,['Other'],Commercial Bank of Ethiopia
65,accessible to using,positive,0.999116837978363,['Account Access Issues'],Commercial Bank of Ethiopia
66,I like it,positive,0.9998593330383301,['Other'],Commercial Bank of Ethiopia
67,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
68,why you change default network?,negative,-0.9962357878684998,['Other'],Commercial Bank of Ethiopia
69,very nice 👍,positive,0.9998577833175659,['User Interface & Experience'],Commercial Bank of Ethiopia
70,nice fast app,positive,0.999833345413208,"['Transaction Performance', 'User Interface & Experience']",Commercial Bank of Ethiopia
71,best,positive,0.9997941851615906,['User Interface & Experience'],Commercial Bank of Ethiopia
72,how to I get my money,negative,-0.9934091567993164,['Other'],Commercial Bank of Ethiopia
73,"Very bad, can't even load they need to improve their services.",negative,-0.9998165965080261,['Customer Support'],Commercial Bank of Ethiopia
74,"Very good app, but please make it reliable . it crashes sometimes .",positive,0.9649854898452759,['Other'],Commercial Bank of Ethiopia
75,very busy I don't know why... I prefer 889,negative,-0.9991938471794128,['Other'],Commercial Bank of Ethiopia
76,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",negative,-0.9966771602630615,['Other'],Commercial Bank of Ethiopia
77,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,negative,-0.9986202716827393,['User Interface & Experience'],Commercial Bank of Ethiopia
78,hojii bonsaadha,positive,0.9568662047386169,['Other'],Commercial Bank of Ethiopia
79,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
80,user-friendly apps.because this app is easy.,positive,0.9554508328437805,['User Interface & Experience'],Commercial Bank of Ethiopia
81,Awosome!!!,positive,0.6944918036460876,['Other'],Commercial Bank of Ethiopia
82,"Very good app,",positive,0.9998691082000732,['Other'],Commercial Bank of Ethiopia
83,sync problem may 22 2025 but the date stack on may 8 2025 help pls,negative,-0.992516815662384,['Customer Support'],Commercial Bank of Ethiopia
84,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,positive,0.9997020363807678,['User Interface & Experience'],Commercial Bank of Ethiopia
85,I hate this app 😒,negative,-0.9996378421783447,['Other'],Commercial Bank of Ethiopia
86,trustful,positive,0.9998213648796082,['Other'],Commercial Bank of Ethiopia
87,I like,positive,0.9998149275779724,['Other'],Commercial Bank of Ethiopia
88,update issue,neutral,0.5473254323005676,['Feature Requests'],Commercial Bank of Ethiopia
89,its not working over safari network,negative,-0.9991377592086792,['Other'],Commercial Bank of Ethiopia
90,oldie,negative,-0.6663156747817993,['Other'],Commercial Bank of Ethiopia
91,it doesn't work,negative,-0.9997813105583191,['Other'],Commercial Bank of Ethiopia
92,best,positive,0.9997941851615906,['User Interface & Experience'],Commercial Bank of Ethiopia
93,"This app is good, and we are using it well",positive,0.999855637550354,['Other'],Commercial Bank of Ethiopia
94,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
95,best app,positive,0.999686598777771,['Other'],Commercial Bank of Ethiopia
96,very nice 👌 app for android phone,positive,0.9994401335716248,['User Interface & Experience'],Commercial Bank of Ethiopia
97,good app,positive,0.9998493194580078,['Other'],Commercial Bank of Ethiopia
98,Yes Yes,positive,0.9997482895851135,['Other'],Commercial Bank of Ethiopia
99,በጣም ከርፋፋ,negative,-0.7850591540336609,['Other'],Commercial Bank of Ethiopia
100,easy to use helpful in my life,positive,0.9981144666671753,"['User Interface & Experience', 'Customer Support']",Commercial Bank of Ethiopia
101,good 👍,positive,0.9998576641082764,['Other'],Commercial Bank of Ethiopia
102,the best mobile banking app,positive,0.9998278617858887,['Other'],Commercial Bank of Ethiopia
103,"this app is very useful app,it saves time,and it is secure",positive,0.9992597699165344,['User Interface & Experience'],Commercial Bank of Ethiopia
104,it's a good application 👍,positive,0.9998123049736023,['User Interface & Experience'],Commercial Bank of Ethiopia
105,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,negative,-0.9997513890266418,"['Transaction Performance', 'Feature Requests']",Commercial Bank of Ethiopia
106,poor service,negative,-0.9996534585952759,['Customer Support'],Commercial Bank of Ethiopia
107,amazing,positive,0.999875545501709,['Other'],Commercial Bank of Ethiopia
108,it is reliable and easy to use.,positive,0.9998389482498169,['User Interface & Experience'],Commercial Bank of Ethiopia
109,the most annoying mobile banking app I've ever seen,negative,-0.9994208812713623,['Other'],Commercial Bank of Ethiopia
110,Eliasmels,neutral,-0.5762404203414917,['Other'],Commercial Bank of Ethiopia
111,Cbe mobile banking,positive,0.830427885055542,['Other'],Commercial Bank of Ethiopia
112,"i can't make Screenshout in this app, please made modification",negative,-0.9966920614242554,['Other'],Commercial Bank of Ethiopia
113,Best app I loved it,positive,0.999849796295166,['Other'],Commercial Bank of Ethiopia
114,nice app,positive,0.9998061060905457,['User Interface & Experience'],Commercial Bank of Ethiopia
115,wow,positive,0.999592125415802,['Other'],Commercial Bank of Ethiopia
116,Amazing applicatiom sometimes doesnt work!,negative,-0.6448792815208435,['Other'],Commercial Bank of Ethiopia
117,well satisfied with this beautiful app,positive,0.9998588562011719,['Other'],Commercial Bank of Ethiopia
118,very good,positive,0.9998520612716675,['Other'],Commercial Bank of Ethiopia
119,best app.,positive,0.999774158000946,['Other'],Commercial Bank of Ethiopia
120,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
121,"not working,why???",negative,-0.9995881915092468,['Other'],Commercial Bank of Ethiopia
122,Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,negative,-0.9841780066490173,"['User Interface & Experience', 'Feature Requests']",Commercial Bank of Ethiopia
123,excellent,positive,0.9998434782028198,['User Interface & Experience'],Commercial Bank of Ethiopia
124,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,negative,-0.9996201992034912,['User Interface & Experience'],Commercial Bank of Ethiopia
125,woxe harimo ribiso,negative,-0.9374371767044067,['Other'],Commercial Bank of Ethiopia
126,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
127,"Good ,easy to use",positive,0.9998592138290405,['User Interface & Experience'],Commercial Bank of Ethiopia
128,Good app,positive,0.9998493194580078,['Other'],Commercial Bank of Ethiopia
129,Good job👍,positive,0.9998576641082764,['Other'],Commercial Bank of Ethiopia
130,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
131,nice,positive,0.9998552799224854,['User Interface & Experience'],Commercial Bank of Ethiopia
132,"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",positive,0.9939066767692566,"['Account Access Issues', 'Feature Requests']",Commercial Bank of Ethiopia
133,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,negative,-0.947411835193634,"['Account Access Issues', 'User Interface & Experience', 'Customer Support', 'Feature Requests']",Commercial Bank of Ethiopia
134,customer service is bad nothing is good about this bank,negative,-0.9996613264083862,['Customer Support'],Commercial Bank of Ethiopia
135,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,negative,-0.992915153503418,['Feature Requests'],Commercial Bank of Ethiopia
136,fast and simple easy to use 👌,positive,0.9984942674636841,"['Transaction Performance', 'User Interface & Experience']",Commercial Bank of Ethiopia
137,The fastest transferring app I ever had its so reliable,positive,0.9844427704811096,['Transaction Performance'],Commercial Bank of Ethiopia
138,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",negative,-0.9986681938171387,"['Account Access Issues', 'Transaction Performance']",Commercial Bank of Ethiopia
139,it's easy and fast,positive,0.9995684027671814,"['Transaction Performance', 'User Interface & Experience']",Commercial Bank of Ethiopia
140,This app don't have self activation only you have to look near cbe branch that's disgusting,negative,-0.9960438013076782,['Other'],Commercial Bank of Ethiopia
141,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,positive,0.999572217464447,"['Account Access Issues', 'Customer Support']",Commercial Bank of Ethiopia
142,wow best application ever,positive,0.9997984766960144,['User Interface & Experience'],Commercial Bank of Ethiopia
143,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
144,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",negative,-0.9997019171714783,['User Interface & Experience'],Commercial Bank of Ethiopia
145,Best,positive,0.9997941851615906,['User Interface & Experience'],Commercial Bank of Ethiopia
146,the pride of Ethiopian bank 🏦,positive,0.999118983745575,['Other'],Commercial Bank of Ethiopia
147,why the app telling me to turn of developer options please fix it.,negative,-0.9990994930267334,['Feature Requests'],Commercial Bank of Ethiopia
148,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
149,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
150,i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,positive,0.9976927042007446,['Transaction Performance'],Commercial Bank of Ethiopia
151,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
152,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
153,amazing apps,positive,0.9998716115951538,['Other'],Commercial Bank of Ethiopia
154,All service of Mobile Banking,positive,0.892425537109375,['Customer Support'],Commercial Bank of Ethiopia
155,needs improvement,negative,-0.9966731071472168,['Other'],Commercial Bank of Ethiopia
156,i miss the old one i couldn't send my mony to other bank..,negative,-0.995843231678009,['Other'],Commercial Bank of Ethiopia
157,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,negative,-0.9984410405158997,['Transaction Performance'],Commercial Bank of Ethiopia
158,good but these week not oky,negative,-0.9554156064987183,['Other'],Commercial Bank of Ethiopia
159,well designed! Fixing bugs & two step verification with biometric... simply it's great!,positive,0.9998049139976501,"['Account Access Issues', 'User Interface & Experience']",Commercial Bank of Ethiopia
160,Good app,positive,0.9998493194580078,['Other'],Commercial Bank of Ethiopia
161,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,negative,-0.9975224137306213,['Feature Requests'],Commercial Bank of Ethiopia
162,"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",positive,0.8991116881370544,"['Transaction Performance', 'User Interface & Experience']",Commercial Bank of Ethiopia
163,CBE mobilr bankg,positive,0.8703054785728455,['Other'],Commercial Bank of Ethiopia
164,wow,positive,0.999592125415802,['Other'],Commercial Bank of Ethiopia
165,verygood,positive,0.9988996982574463,['Other'],Commercial Bank of Ethiopia
166,ممتاز جدا,negative,-0.8031744956970215,['Other'],Commercial Bank of Ethiopia
167,it's very low quality application,negative,-0.9996594190597534,['User Interface & Experience'],Commercial Bank of Ethiopia
168,Very Amazing Apps,positive,0.9998774528503418,['Other'],Commercial Bank of Ethiopia
169,አዛ,negative,-0.6970564723014832,['Other'],Commercial Bank of Ethiopia
170,wow simple life,positive,0.9997076392173767,['Other'],Commercial Bank of Ethiopia
171,it's nice,positive,0.9998672008514404,['User Interface & Experience'],Commercial Bank of Ethiopia
172,Why stacked sometimes,negative,-0.9941052198410034,['Other'],Commercial Bank of Ethiopia
173,good app,positive,0.9998493194580078,['Other'],Commercial Bank of Ethiopia
174,nice,positive,0.9998552799224854,['User Interface & Experience'],Commercial Bank of Ethiopia
175,okay 👍 but sometimes busy,negative,-0.8515543937683105,['Other'],Commercial Bank of Ethiopia
176,the worst commercial company that fails to do even the most normal things again and and again.,negative,-0.9997990727424622,['Other'],Commercial Bank of Ethiopia
177,Very good app. but disappointed by general cessation of system.,negative,-0.9981188178062439,['Other'],Commercial Bank of Ethiopia
178,excellent,positive,0.9998434782028198,['User Interface & Experience'],Commercial Bank of Ethiopia
179,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
180,Good and fast,positive,0.9998561143875122,['Transaction Performance'],Commercial Bank of Ethiopia
181,Unreliable!,negative,-0.9997379183769226,['Other'],Commercial Bank of Ethiopia
182,Best the best fast,positive,0.9998427629470825,"['Transaction Performance', 'User Interface & Experience']",Commercial Bank of Ethiopia
183,good app,positive,0.9998493194580078,['Other'],Commercial Bank of Ethiopia
184,happy,positive,0.9998753070831299,['Other'],Commercial Bank of Ethiopia
185,fast and reliable,positive,0.9998595714569092,['Transaction Performance'],Commercial Bank of Ethiopia
186,network errorrrrrr,negative,-0.9978076815605164,['Account Access Issues'],Commercial Bank of Ethiopia
187,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,negative,-0.9982808828353882,"['User Interface & Experience', 'Feature Requests']",Commercial Bank of Ethiopia
188,its good and simple to use,positive,0.9998610019683838,['User Interface & Experience'],Commercial Bank of Ethiopia
189,worest app like that bank for security and network access,negative,-0.9927296042442322,['Account Access Issues'],Commercial Bank of Ethiopia
190,it's the best app i,positive,0.999834418296814,['Other'],Commercial Bank of Ethiopia
191,not bad not good,negative,-0.9715348482131958,['Other'],Commercial Bank of Ethiopia
192,its very nice,positive,0.9998526573181152,['User Interface & Experience'],Commercial Bank of Ethiopia
193,do not work this week,negative,-0.9977602958679199,['Other'],Commercial Bank of Ethiopia
194,It crashes frequently,negative,-0.9993256330490112,['Other'],Commercial Bank of Ethiopia
195,the best,positive,0.9998332262039185,['Other'],Commercial Bank of Ethiopia
196,"I can simply describe this app as ""Making all your work easier"".",positive,0.8382584452629089,['User Interface & Experience'],Commercial Bank of Ethiopia
197,goid,negative,-0.7087001204490662,['Other'],Commercial Bank of Ethiopia
198,best appearance,positive,0.9996986389160156,['Other'],Commercial Bank of Ethiopia
199,it's very good 👍 app,positive,0.999859094619751,['Other'],Commercial Bank of Ethiopia
200,abinet kutafo,positive,0.9704495072364807,['Other'],Commercial Bank of Ethiopia
201,I need support you,negative,-0.9881443977355957,['Customer Support'],Commercial Bank of Ethiopia
202,the worst Mobile banking i have ever seen in my life,negative,-0.9997807145118713,['Other'],Commercial Bank of Ethiopia
203,Nuree mahamud,positive,0.95653235912323,['Other'],Commercial Bank of Ethiopia
204,super,positive,0.998783528804779,['Other'],Commercial Bank of Ethiopia
205,ጠጀጨገጀ።ጀገ,negative,-0.8337253928184509,['Other'],Commercial Bank of Ethiopia
206,i like the app,positive,0.9994398951530457,['Other'],Commercial Bank of Ethiopia
207,the Best,positive,0.9998332262039185,['Other'],Commercial Bank of Ethiopia
208,nice,positive,0.9998552799224854,['User Interface & Experience'],Commercial Bank of Ethiopia
209,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
210,to other bank is bad,negative,-0.9997149109840393,['Other'],Commercial Bank of Ethiopia
211,tank's,negative,-0.9855977892875671,['Other'],Commercial Bank of Ethiopia
212,its good but add more features such like. bank statement showing,positive,0.9881665110588074,['Feature Requests'],Commercial Bank of Ethiopia
213,it is so nice,positive,0.9998714923858643,['User Interface & Experience'],Commercial Bank of Ethiopia
214,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
215,Very Good👍,positive,0.8243637084960938,['Other'],Commercial Bank of Ethiopia
216,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",negative,-0.9995972514152527,"['Account Access Issues', 'User Interface & Experience']",Commercial Bank of Ethiopia
217,"wow, amazing app",positive,0.9998503923416138,['Other'],Commercial Bank of Ethiopia
218,use ful,negative,-0.9949980974197388,['User Interface & Experience'],Commercial Bank of Ethiopia
219,Great app,positive,0.999821126461029,['User Interface & Experience'],Commercial Bank of Ethiopia
220,well app,positive,0.9993765950202942,['Other'],Commercial Bank of Ethiopia
221,Actually it is inactive,negative,-0.9996483325958252,['Other'],Commercial Bank of Ethiopia
222,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
223,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
224,best app,positive,0.999686598777771,['Other'],Commercial Bank of Ethiopia
225,amazing,positive,0.999875545501709,['Other'],Commercial Bank of Ethiopia
226,I like,positive,0.9998149275779724,['Other'],Commercial Bank of Ethiopia
227,"slow, only one account is used",negative,-0.9997527003288269,"['Account Access Issues', 'Transaction Performance']",Commercial Bank of Ethiopia
228,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
229,always CBE is the leading Commercial Bank💪💪💪,positive,0.9975135326385498,['Other'],Commercial Bank of Ethiopia
230,i like it,positive,0.9998593330383301,['Other'],Commercial Bank of Ethiopia
231,why removing screenshot feature why?,negative,-0.9981147050857544,['Feature Requests'],Commercial Bank of Ethiopia
232,nice apps where network is good in connection,positive,0.9994925260543823,['User Interface & Experience'],Commercial Bank of Ethiopia
233,Thank you!!!,positive,0.9998666048049927,['Customer Support'],Commercial Bank of Ethiopia
234,i can't take screenshot,negative,-0.9897894263267517,['Feature Requests'],Commercial Bank of Ethiopia
235,"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",negative,-0.9861215949058533,"['Account Access Issues', 'User Interface & Experience', 'Feature Requests']",Commercial Bank of Ethiopia
236,perfectly special,positive,0.999879002571106,['Other'],Commercial Bank of Ethiopia
237,Fast and Reliable,positive,0.9998595714569092,['Transaction Performance'],Commercial Bank of Ethiopia
238,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
239,The best application I have ever seen in Ethiopia banking industry.,positive,0.9997448325157166,['User Interface & Experience'],Commercial Bank of Ethiopia
240,great app!!!,positive,0.9998501539230347,['User Interface & Experience'],Commercial Bank of Ethiopia
241,because sometimes it doesn't working it load too much,negative,-0.9911932349205017,['Other'],Commercial Bank of Ethiopia
242,"Absolutely the best app! It works flawlessly, anytime and anywhere.",positive,0.9998784065246582,['Other'],Commercial Bank of Ethiopia
243,ok,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
244,very nice app ever!!!,positive,0.999826967716217,['User Interface & Experience'],Commercial Bank of Ethiopia
245,the best app,positive,0.9998469352722168,['Other'],Commercial Bank of Ethiopia
246,Biometric security for mobile banking is not available,negative,-0.9996340274810791,['Other'],Commercial Bank of Ethiopia
247,great,positive,0.9998630285263062,['User Interface & Experience'],Commercial Bank of Ethiopia
248,Nice service,positive,0.9998397827148438,"['User Interface & Experience', 'Customer Support']",Commercial Bank of Ethiopia
249,great app,positive,0.999821126461029,['User Interface & Experience'],Commercial Bank of Ethiopia
250,it's special apps,positive,0.9995416402816772,['Other'],Commercial Bank of Ethiopia
251,"In the updated version of the app, it takes more time to download the receipt.",negative,-0.9985652565956116,['Feature Requests'],Commercial Bank of Ethiopia
252,ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,negative,-0.9647620320320129,['Other'],Commercial Bank of Ethiopia
253,Good 🔥,positive,0.9998576641082764,['Other'],Commercial Bank of Ethiopia
254,very interesting app i am using every day fantastic,positive,0.9998443126678467,['Other'],Commercial Bank of Ethiopia
255,lebaa bank,negative,-0.9437295198440552,['Other'],Commercial Bank of Ethiopia
256,Can't scan/recognize other banks' Interoperable QR Codes,negative,-0.9983273148536682,['Other'],Commercial Bank of Ethiopia
257,OK,positive,0.9997851252555847,['Other'],Commercial Bank of Ethiopia
258,grateful app,positive,0.9998038411140442,['Other'],Commercial Bank of Ethiopia
259,100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,positive,0.9974650144577026,['Other'],Commercial Bank of Ethiopia
260,everthing wellbeok,negative,-0.7055748701095581,['User Interface & Experience'],Commercial Bank of Ethiopia
261,"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",negative,-0.9963226318359375,"['Account Access Issues', 'Transaction Performance', 'User Interface & Experience', 'Feature Requests']",Commercial Bank of Ethiopia
262,nice app 👌,positive,0.9996724128723145,['User Interface & Experience'],Commercial Bank of Ethiopia
263,why did this app is not screenshot,negative,-0.9989493489265442,['Feature Requests'],Commercial Bank of Ethiopia
264,it so good app,positive,0.999868631362915,['Other'],Commercial Bank of Ethiopia
265,the best app,positive,0.9998469352722168,['Other'],Commercial Bank of Ethiopia
266,جميل,positive,0.9271727800369263,['Other'],Commercial Bank of Ethiopia
267,"less network, specially to make fee for utility purpose",negative,-0.994688868522644,['Other'],Commercial Bank of Ethiopia
